Timestamp,Name,Department,Which digital learning tools do you use regularly?,Which device do you primarily use to access these tools?,"On average, how many hours per week do you spend using digital learning tools?",Do you feel that digital learning tools have helped improve your grades or academic performance?,In what ways have digital learning tools influenced your learning experience?,Which specific digital tools do you believe have contributed the most to your academic success?,Have you noticed any changes in your academic performance since you started using digital learning tools?,How engaged do you feel during online classes or while using digital learning tools compared to traditional classroom settings?,Do digital learning tools encourage you to participate more actively in your studies?,What challenges do you face when using digital learning tools?,What improvements or features would you like to see in the digital learning tools you use?,How do you track your study habits and performance when using digital tools?
2024-09-28 15:22:54,User_1315,ECE ,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,More than 20 hours,Unsure,Enhanced understanding of subjects,Online tutorials,No change,Equally engaged,No,Lack of interaction,More communicable ,Self-tracking
2024-09-28 15:22:54,User_7178,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Increased engagement",Google ,Slight improvement,Less engaged,Yes,Technical issues,No,Through app usage statistics
2024-09-28 15:22:54,User_3335,EEE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet)",Desktop,4-6 hours,Yes,Enhanced understanding of subjects,Online tutorials ,Significant improvement,Equally engaged,Sometimes,"Technical issues, Distractions",Not idea,I don’t track
2024-09-28 15:22:54,User_5754,CSE,Online Tutorials,Laptop,1-3 hours,Yes,Enhanced understanding of subjects,Notion and youtube ,Slight improvement,Less engaged,Sometimes,"Technical issues, Lack of interaction, Distractions",Have no idea,"Self-tracking, I don’t track"
2024-09-28 15:22:54,User_3457,AI&DS,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,7-10 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management",Zoom and Google,Significant improvement,Equally engaged,Yes,"Lack of interaction, Distractions",Obstacles happening coz of premium content should be minimized,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_5283,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,1-3 hours,Yes,Enhanced understanding of subjects,Google,Slight improvement,Equally engaged,Yes,"Lack of interaction, Distractions",Adding more interactive features and minimizing the distraction stuffs,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_3623,Computer science engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,No,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Education apps,Slight improvement,Equally engaged,Sometimes,Technical issues,None,Self-tracking
2024-09-28 15:22:54,User_1803,ECE ,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,More than 20 hours,Unsure,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Smartphone,Significant improvement,Less engaged,No,Lack of interaction,More communicable ,Self-tracking
2024-09-28 15:22:54,User_3772,CSE,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Youtube,Slight improvement,Equally engaged,Yes,Technical issues,None,Self-tracking
2024-09-28 15:22:54,User_4544,It,"Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,Yes,Enhanced understanding of subjects,"instagram,linkedin",Slight improvement,Equally engaged,Yes,"Distractions, Overwhelming amount of tools, Difficulty in using tools",Noclue,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_1782,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Grammarly,Slight improvement,Less engaged,Sometimes,Distractions,Immediate response of doubts,"Self-tracking, I don’t track"
2024-09-28 15:22:54,User_9816,ECE,Online Tutorials,Laptop,7-10 hours,Yes,Enhanced understanding of subjects,YouTube,No change,Equally engaged,Yes,"Overwhelming amount of tools, Difficulty in using tools",more user-friendly ,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_4697,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",None,Slight improvement,Equally engaged,Yes,"Technical issues, Distractions",Free Availability ,Self-tracking
2024-09-28 15:22:54,User_1712,It,"Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,Yes,None,You Tube ,Slight improvement,Equally engaged,Yes,"Distractions, Overwhelming amount of tools, Difficulty in using tools",Noclue,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_3403,CSE ,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,Increased engagement,Chat gpt .,Slight improvement,More Engaged,Yes,"Technical issues, Distractions",More better concept understanding in a interactive mode,I don’t track
2024-09-28 15:22:54,User_7431,CSE ,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Smartphone,No change,Equally engaged,Yes,"Technical issues, Distractions",More better concept understanding in a interactive mode,I don’t track
2024-09-28 15:22:54,User_1577,Mechanical ,"Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Smartphone,7-10 hours,Yes,Enhanced understanding of subjects,Youtube...anatomy learning app,Slight improvement,More Engaged,Yes,"Lack of interaction, Distractions, Overwhelming amount of tools",Accountability from the platform . ,Self-tracking
2024-09-28 15:22:54,User_7244,EEE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet)",Desktop,4-6 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Grammarly,Slight improvement,Equally engaged,Sometimes,"Technical issues, Distractions",Not idea,I don’t track
2024-09-28 15:22:54,User_5838,CSE,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,1-3 hours,Yes,Enhanced understanding of subjects,Cour3,Slight improvement,Less engaged,Yes,"Lack of interaction, Distractions",While using digital learning tools there should not be any notifications popping out that cause the distraction.,Through app usage statistics
2024-09-28 15:22:54,User_8725,Pharmacology,E-books,Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, More efficient study habits","Coursera,Nptel,Bentley",Significant improvement,Equally engaged,Yes,"Technical issues, Lack of interaction, Distractions",Virtual reality ,Self-tracking
2024-09-28 15:22:54,User_5973,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,1-3 hours,Yes,"Option ,Better time management",Cour3,Significant improvement,More Engaged,Sometimes,Distractions,Immediate response of doubts,"Self-tracking, I don’t track"
2024-09-28 15:22:54,User_6126,ECE,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,4-6 hours,Unsure,Enhanced understanding of subjects,Online learning platform like coursera etc,Slight improvement,Equally engaged,No,"Technical issues, Lack of interaction, Distractions, Overwhelming amount of tools",Activity based,Self-tracking
2024-09-28 15:22:54,User_6615,CSE,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Taking notes,Slight improvement,Equally engaged,Yes,"Lack of interaction, Distractions",While using digital learning tools there should not be any notifications popping out that cause the distraction.,Through app usage statistics
2024-09-28 15:22:54,User_6944,ECE,"Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, More efficient study habits",Zoom,Slight improvement,Equally engaged,Yes,"Technical issues, Distractions",Interesting concepts & better understanding,Self-tracking
2024-09-28 15:22:54,User_1733,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Yes,Enhanced understanding of subjects,Taking notes,Significant improvement,More Engaged,Yes,"Technical issues, Distractions",Free Availability ,Self-tracking
2024-09-28 15:22:54,User_8708,AIDS,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,More than 20 hours,Yes,Enhanced understanding of subjects,Smart phone,Significant improvement,Equally engaged,Yes,"Lack of interaction, Distractions",Interactive sessions,Self-tracking
2024-09-28 15:22:54,User_4764,ECE,"Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,Yes,"Increased engagement, Option ,Better time management",YouTube ,Significant improvement,More Engaged,Yes,"Technical issues, Distractions",Interesting concepts & better understanding,Self-tracking
2024-09-28 15:22:54,User_3869,Mbbs,"Educational Apps (e.g., Khan Academy, Coursera), E-books",Tablet,11-15 hours,Yes,"Enhanced understanding of subjects, Increased engagement",Online tutorials,Slight improvement,Equally engaged,Yes,Lack of interaction,Pomodaro,Through app usage statistics
2024-09-28 15:22:54,User_6421,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Smartphone,1-3 hours,Yes,More efficient study habits,Youtube,Significant improvement,Less engaged,Sometimes,Technical issues,"Better audio/video quality 

",Self-tracking
2024-09-28 15:22:54,User_5904,AIDS,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,More than 20 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management, More efficient study habits",Zoom,Significant improvement,Equally engaged,Yes,"Lack of interaction, Distractions",Interactive sessions,Self-tracking
2024-09-28 15:22:54,User_8495,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Online learning platform like coursera etc,No change,Equally engaged,Yes,"Technical issues, Distractions",Free Availability ,Self-tracking
2024-09-28 15:22:54,User_8286,Ai-ds,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Unsure,"Enhanced understanding of subjects, Increased engagement",Google,Slight improvement,Less engaged,Sometimes,"Technical issues, Lack of interaction, Distractions",Interaction and engagement for doubt clearance and to bring competition so that it could motivate,I don’t track
2024-09-28 15:22:54,User_4310,AIMl,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement",YouTube ,Slight improvement,More Engaged,Yes,Lack of interaction,Some sort of practical application working ,I don’t track
2024-09-28 15:22:54,User_3206,AI&DS,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,7-10 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management",YouTube Tutorials,Significant improvement,More Engaged,Yes,"Lack of interaction, Distractions",Obstacles happening coz of premium content should be minimized,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_5554,ECE ,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,More than 20 hours,Unsure,"Enhanced understanding of subjects, Option ,Better time management, More efficient study habits",Online learning platform like coursera etc,Significant improvement,Equally engaged,No,Lack of interaction,More communicable ,Self-tracking
2024-09-28 15:22:54,User_2452,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Moodle,Slight improvement,Equally engaged,Sometimes,Technical issues,"Better audio/video quality 

",Self-tracking
2024-09-28 15:22:54,User_2395,ECE,Online Tutorials,Smartphone,1-3 hours,Yes,Enhanced understanding of subjects,Education apps,Slight improvement,Equally engaged,Yes,"Technical issues, Distractions, Difficulty in using tools",Proper internet connection ,Self-tracking
2024-09-28 15:22:54,User_3912,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Yes,Enhanced understanding of subjects,"Youtube , Notion",Significant improvement,Equally engaged,Yes,"Technical issues, Distractions",Free Availability ,Self-tracking
2024-09-28 15:22:54,User_8750,cse,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Smartphone,Significant improvement,Less engaged,Yes,Technical issues,ensuring all the learners are   listening ,"Through app usage statistics, I don’t track"
2024-09-28 15:22:54,User_2761,Pharmacology,E-books,Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits","Digital tools and apps can significantly support a productive study routine. They help organize, plan, take notes, manage information, and provide study aids and resources.",Significant improvement,Equally engaged,Yes,"Technical issues, Lack of interaction, Distractions",Virtual reality ,Self-tracking
2024-09-28 15:22:54,User_7098,ECE,Online Tutorials,Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Increased engagement, More efficient study habits",You Tube ,Slight improvement,Equally engaged,Sometimes,"Lack of interaction, Distractions",-,I don’t track
2024-09-28 15:22:54,User_5915,CSE,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement",Notion and youtube ,Significant improvement,Less engaged,Yes,"Lack of interaction, Distractions",While using digital learning tools there should not be any notifications popping out that cause the distraction.,Through app usage statistics
2024-09-28 15:22:54,User_2266,ECE,Online Tutorials,Smartphone,1-3 hours,Yes,"Option ,Better time management",YouTube Tutorials,Significant improvement,More Engaged,Yes,"Technical issues, Distractions, Difficulty in using tools",Proper internet connection ,Self-tracking
2024-09-28 15:22:54,User_6490,EEE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet)",Desktop,4-6 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management","Coursera , simplilearn , Chatgpt , bard , blackbox ",Slight improvement,More Engaged,Sometimes,"Technical issues, Distractions",Not idea,I don’t track
2024-09-28 15:22:54,User_6357,Computer science and Engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,1-3 hours,Unsure,"Enhanced understanding of subjects, Option ,Better time management","Moodle,Google classroom ",Slight improvement,Equally engaged,No,"Technical issues, Lack of interaction, Distractions, Overwhelming amount of tools, Difficulty in using tools",None,Self-tracking
2024-09-28 15:22:54,User_6371,cse,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management, More efficient study habits",Youtube videos ,Slight improvement,Equally engaged,Yes,Technical issues,ensuring all the learners are   listening ,"Through app usage statistics, I don’t track"
2024-09-28 15:22:54,User_9096,Artificial intelligence and machine learning ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits","Youtube, NesoAcademy",Slight improvement,Equally engaged,Yes,"Technical issues, Lack of interaction, Distractions",Interactive quizzes,Self-tracking
2024-09-28 15:22:54,User_9045,CSE,Online Tutorials,Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Increased engagement",Smart phone,Slight improvement,More Engaged,Sometimes,Distractions,To be more easy accessable and more understanding concepts ,Self-tracking
2024-09-28 15:22:54,User_3810,Mbbs,"Video Conferencing Tools (e.g., Zoom, Google Meet), Online Tutorials",Smartphone,Less than 1 hour,Unsure,"Option ,Better time management, More efficient study habits",Google,Slight improvement,Less engaged,No,"Lack of interaction, Distractions",More diagrams and flowcharts,I don’t track
2024-09-28 15:22:54,User_4780,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Zoom,Slight improvement,More Engaged,Yes,"Lack of interaction, Distractions",Adding more interactive features and minimizing the distraction stuffs,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_1759,EEE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet)",Desktop,4-6 hours,Yes,More efficient study habits,Online tutorials,Significant improvement,Less engaged,Sometimes,"Technical issues, Distractions",Not idea,I don’t track
2024-09-28 15:22:54,User_6072,Mbbs,"Video Conferencing Tools (e.g., Zoom, Google Meet), Online Tutorials",Smartphone,Less than 1 hour,Unsure,"Option ,Better time management","Youtube , Notion",Slight improvement,More Engaged,No,"Lack of interaction, Distractions",More diagrams and flowcharts,I don’t track
2024-09-28 15:22:54,User_7512,ECE,Online Tutorials,Laptop,4-6 hours,Yes,Enhanced understanding of subjects,You Tube ,Slight improvement,More Engaged,Sometimes,"Lack of interaction, Distractions",-,I don’t track
2024-09-28 15:22:54,User_5437,Ai-ds,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Unsure,Enhanced understanding of subjects,"google, youtube , chatgpt",Significant improvement,Less engaged,Sometimes,"Technical issues, Lack of interaction, Distractions",Interaction and engagement for doubt clearance and to bring competition so that it could motivate,I don’t track
2024-09-28 15:22:54,User_6493,Ai-ds,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,4-6 hours,Unsure,"Enhanced understanding of subjects, Increased engagement, More efficient study habits","Youtube, NesoAcademy",Slight improvement,More Engaged,Sometimes,"Technical issues, Lack of interaction, Distractions",Interaction and engagement for doubt clearance and to bring competition so that it could motivate,I don’t track
2024-09-28 15:22:54,User_8684,Mechanical and Mechatronics Engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera)",Smartphone,7-10 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management","Moodle,Google classroom ",Significant improvement,Less engaged,Yes,"Lack of interaction, Distractions",With similar examples and with frequently used and understandable words,Self-tracking
2024-09-28 15:22:54,User_6655,cse,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,11-15 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Education apps,Significant improvement,Equally engaged,Yes,Technical issues,ensuring all the learners are   listening ,"Through app usage statistics, I don’t track"
2024-09-28 15:22:54,User_4180,Artificial intelligence and data science ,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Laptop,7-10 hours,Yes,"Enhanced understanding of subjects, More efficient study habits",Notion and youtube ,Slight improvement,More Engaged,Sometimes,"Technical issues, Lack of interaction, Distractions",Personalised learning & user interface ,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_6131,CSE,"Learning Management System (e.g., Moodle, Google Classroom)",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, More efficient study habits",You Tube ,Slight improvement,Less engaged,Yes,"Lack of interaction, Distractions",While using digital learning tools there should not be any notifications popping out that cause the distraction.,Through app usage statistics
2024-09-28 15:22:54,User_6469,ECE,Online Tutorials,Smartphone,1-3 hours,Yes,None,Taking notes,Significant improvement,Less engaged,Yes,"Technical issues, Distractions, Difficulty in using tools",Proper internet connection ,Self-tracking
2024-09-28 15:22:54,User_7352,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Online Tutorials",Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management","Instagram, Youtube, LinkedIn, ",Slight improvement,Equally engaged,Sometimes,"Lack of interaction, Distractions",More interaction ,Self-tracking
2024-09-28 15:22:54,User_5499,It,"Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Online tutorials via youtube,Slight improvement,Equally engaged,Yes,"Distractions, Overwhelming amount of tools, Difficulty in using tools",Noclue,"Through app usage statistics, Self-tracking"
2024-09-28 15:22:54,User_5648,Computer science and Engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), E-books, Online Tutorials",Laptop,1-3 hours,Unsure,Enhanced understanding of subjects,"Chat gpt, YouTube, gemini, microsoft copliet, Google ",Slight improvement,Equally engaged,No,"Technical issues, Lack of interaction, Distractions, Overwhelming amount of tools, Difficulty in using tools",None,Self-tracking
2024-09-28 15:22:54,User_6981,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management","Moodle,Google classroom ",Slight improvement,Equally engaged,Sometimes,Technical issues,"Better audio/video quality 

",Self-tracking
2024-09-28 15:22:54,User_1084,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,More than 20 hours,Yes,"Enhanced understanding of subjects, Increased engagement",Youtube,No change,Equally engaged,Yes,"Overwhelming amount of tools, Difficulty in using tools","Better tools for managing assets and resources within large projects, including AI-driven suggestions for optimization and organization and made them as convenient to use for the users",Through app usage statistics
2024-09-28 15:22:54,User_4743,AIMl,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Smartphone,1-3 hours,Yes,Enhanced understanding of subjects,"instagram,linkedin",Slight improvement,Less engaged,Yes,Lack of interaction,Some sort of practical application working ,I don’t track
2024-09-28 15:22:54,User_4908,ECE,"Video Conferencing Tools (e.g., Zoom, Google Meet)",Laptop,4-6 hours,Yes,Enhanced understanding of subjects,"Digital tools and apps can significantly support a productive study routine. They help organize, plan, take notes, manage information, and provide study aids and resources.",Slight improvement,Equally engaged,Yes,Overwhelming amount of tools,Yes ,Self-tracking
2024-09-28 15:22:54,User_6875,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Online tutorials ,Slight improvement,Less engaged,Sometimes,Technical issues,"Better audio/video quality 

",Self-tracking
2024-09-28 15:22:54,User_7647,AiML,"Learning Management System (e.g., Moodle, Google Classroom), E-books, Online Tutorials",Laptop,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Pdf of books,Significant improvement,Equally engaged,Sometimes,Distractions,Lms,I don’t track
2024-09-28 15:22:54,User_9522,CSE ,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,11-15 hours,Yes,"Increased engagement, Option ,Better time management",Moodle ,Slight improvement,Equally engaged,Yes,"Technical issues, Distractions",More better concept understanding in a interactive mode,I don’t track
2024-09-28 15:22:54,User_6596,EEE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet)",Desktop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management, More efficient study habits",Notion and youtube ,Slight improvement,Equally engaged,Sometimes,"Technical issues, Distractions",Not idea,I don’t track
2024-09-28 15:22:54,User_4127,Mechanical and Mechatronics Engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera)",Smartphone,7-10 hours,Yes,Enhanced understanding of subjects,Coursera,Slight improvement,More Engaged,Yes,"Lack of interaction, Distractions",With similar examples and with frequently used and understandable words,Self-tracking
2024-09-28 15:22:54,User_2986,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",May be some apps,Slight improvement,More Engaged,Sometimes,Technical issues,"Better audio/video quality 

",Self-tracking
2024-09-28 15:22:54,User_9251,ECE,"Learning Management System (e.g., Moodle, Google Classroom), Online Tutorials",Smartphone,1-3 hours,Yes,Enhanced understanding of subjects,"Coursera,Nptel,Bentley",Slight improvement,Equally engaged,Sometimes,Technical issues,"Better audio/video quality 

",Self-tracking
2024-09-28 15:22:54,User_5519,ECE ,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,More than 20 hours,Unsure,More efficient study habits,Zoom and Google,Slight improvement,Less engaged,No,Lack of interaction,More communicable ,Self-tracking
2024-09-28 15:22:54,User_1011,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,More than 20 hours,Yes,"Enhanced understanding of subjects, Increased engagement, Option ,Better time management, More efficient study habits",Youtube videos ,Slight improvement,Less engaged,Yes,"Overwhelming amount of tools, Difficulty in using tools","Better tools for managing assets and resources within large projects, including AI-driven suggestions for optimization and organization and made them as convenient to use for the users",Through app usage statistics
2024-09-28 15:22:54,User_2148,ECE,Online Tutorials,Laptop,4-6 hours,Yes,"Enhanced understanding of subjects, Option ,Better time management",Youtube...anatomy learning app,Significant improvement,Less engaged,Sometimes,"Lack of interaction, Distractions",-,I don’t track
2024-09-28 15:22:54,User_9104,Computer science engineering ,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera)",Laptop,1-3 hours,No,"Option ,Better time management, More efficient study habits","youtube, chatgpt",Slight improvement,More Engaged,Sometimes,Technical issues,None,Self-tracking
2024-09-28 15:22:54,User_3643,CSE,"Learning Management System (e.g., Moodle, Google Classroom), Video Conferencing Tools (e.g., Zoom, Google Meet), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Laptop,More than 20 hours,Yes,"Option ,Better time management",YouTube,Significant improvement,Less engaged,Yes,"Overwhelming amount of tools, Difficulty in using tools","Better tools for managing assets and resources within large projects, including AI-driven suggestions for optimization and organization and made them as convenient to use for the users",Through app usage statistics
2024-09-28 15:22:54,User_2696,AIMl,"Learning Management System (e.g., Moodle, Google Classroom), Educational Apps (e.g., Khan Academy, Coursera), Online Tutorials",Smartphone,1-3 hours,Yes,"Enhanced understanding of subjects, Increased engagement, More efficient study habits",None,Slight improvement,Equally engaged,Yes,Lack of interaction,Some sort of practical application working ,I don’t track
2024-09-28 15:22:54,User_8874,ECE ,"Learning Management System (e.g., Moodle, Google Classroom)",Smartphone,More than 20 hours,Unsure,"Increased engagement, Option ,Better time management",Chat GPT,Significant improvement,More Engaged,No,Lack of interaction,More communicable ,Self-tracking
